revenue,expenses,employees,customer_satisfaction,market_share,growth_rate,product_count,region,department,year
500000.0,38577.87360348283,108,8.36483544458365,9.447120772670857,1.788664411565943,1,Central,Marketing,2019
47926.03548243223,200000.0,394,7.966875231815304,23.761352217118116,10.685455419666782,5,East,Engineering,2024
59715.32807151039,45830.512431752766,414,10.0,19.678391965737305,150.0,20,South,Finance,2018
72845.44784612038,45538.02052034903,320,9.179362367151866,21.357775474970794,22.260719281377007,8,Central,Engineering,2019
46487.69937914996,21223.30632042909,15,7.30812361277885,18.608360320216175,38.32318911048346,43,West,Engineering,2024
46487.945645762295,25621.749600848772,485,6.066689339099361,9.354741143913854,1.6295747249561519,12,Central,Sales,2018
73688.19223261088,40150.3526720866,474,5.090330519613641,12.377398668601131,2.126726689781334,1,West,Engineering,2018
61511.52093729363,40137.859509122085,206,7.805195453800835,17.44687280613959,20.529930524828863,20,East,Sales,2020
42957.88421097572,40150.47686306048,360,6.365473882073545,8.889360955540273,,28,Central,HR,2023
58138.40065378947,73527.31490654721,142,5.366619435603489,18.56499215086194,30.1604879088324,43,West,Sales,2021
43048.734607813065,40708.90510693167,367,6.53014067363621,13.798373009209325,15.007138223911568,37,East,Finance,2019
43014.05369644615,46355.65640180599,268,5.8776779945784074,13.125895962252013,3.6884949105552858,47,South,Sales,2018
53629.43407349051,44540.017634932025,446,10.0,18.554799841017456,15.087857968307711,37,West,HR,2019
21300.79633013303,41513.91251305798,32,8.822459635424176,17.2213165574302,,12,South,Finance,2023
24126.23251230451,31847.307553596544,494,7.488041038025074,13.1951691709046,17.84578617436837,37,South,Marketing,2021
41565.68706138541,42589.692204932675,62,9.71991620833504,20.79664901682124,14.087288373287572,49,North,Marketing,2023
34807.53319498364,27271.747854624282,174,7.616052461471427,9.594683362000513,20.800096275069848,49,Central,Sales,2021
,32631.81393259991,211,6.208073698007604,18.07967803472132,22.031547085348073,44,West,Sales,2022
,30146.364521708965,467,9.784686115904485,17.96550628984192,24.585907892450326,28,South,HR,2021
28815.44447997063,35818.74139386322,92,8.308365065526989,13.452267803430049,15.784518651075711,47,North,HR,2020
71984.7315338233,58146.58566673509,154,5.944130768510315,16.63066511121059,5.9945830361977475,15,East,Engineering,2023
46613.355492701965,16327.348074082518,94,7.214491982874588,8.744432118073485,9.760564237199874,6,West,HR,2018
51012.92307031886,41862.60190374513,87,6.186572619922864,19.620135096034506,22.47810759810028,44,South,Engineering,2022
28628.77720679815,18872.841288103482,466,5.425800403553496,14.075489317785054,-1.8032280518468333,20,Central,Finance,2020
41834.25913212226,30280.681342105665,375,8.889266321297463,12.386384897404803,12.424079706474814,14,North,Sales,2019
51663.83884564799,45889.50596967366,10,10.0,20.245046129184445,3.279934252071672,2,South,Finance,2023
32735.09633866546,35642.80019095463,60,5.402148639271289,11.478281547286205,8.34493787521781,9,Central,HR,2024
55635.47027518508,24222.552220706937,182,8.344453855035857,7.957693518182202,23.341422351287584,37,South,Finance,2024
40990.419651217926,27846.962907400317,214,6.524036146317259,7.216854132380481,10.293188816238839,20,West,Finance,2018
45624.593753100846,41795.977489346755,269,6.769311924352956,18.030049756728197,8.557238577873786,26,West,Finance,2021
40974.40081655905,27696.333682828634,455,,8.597853237518585,-8.318273691759032,29,West,HR,2018
77784.17276763407,37164.58589581975,458,6.204013845480276,23.77397090992182,16.955042792326648,1,North,Finance,2024
49797.541628930994,35455.71839903814,378,7.572782441917241,4.59035296058139,15.745810173692906,35,West,Engineering,2019
34134.3360656615,28483.99652394183,497,6.253574825383444,23.48228184145019,33.95905667966552,6,Central,HR,2022
62338.173681547836,56439.44089325325,297,7.905685238669758,16.05508733601309,4.3066611805639905,37,South,Finance,2022
31687.345250434668,41339.190223180114,43,7.424642835826295,14.516434440648037,10.629803931967267,5,East,HR,2023
53132.95392507133,14748.574133423928,357,7.141577929700386,12.275404565955252,10.992604204529062,33,Central,Marketing,2022
20604.948141803365,36864.543147694276,104,6.138654506937604,16.995680571760353,26.92943935716169,49,Central,Engineering,2023
30077.209266523543,28382.13535231612,81,6.634843004147501,14.811826487875758,6.856453611356574,14,West,Finance,2023
52952.91853803685,43524.33334796224,48,8.633086838738635,20.516509410082605,11.34825830924407,12,North,Marketing,2023
61076.99869993116,27074.792615672995,163,8.251375781436572,15.571138243310198,15.29475811659847,42,South,Marketing,2024
52570.524217849554,33852.63558533101,259,6.033667132802173,15.751508807309389,10.239309477876297,20,North,HR,2024
48265.27576417639,40049.87278980457,171,7.648998458143839,13.18193893893072,2.642796625393661,24,South,Marketing,2021
45483.444566160666,43657.55194170121,447,8.627080685057683,14.715271881394663,10.32907991477969,43,South,Engineering,2020
27822.17014448859,22997.035929442238,127,4.995892078317942,16.539008844460295,20.883580998317264,34,North,Engineering,2023
39202.33687407937,31654.987641590516,268,8.315040288569902,6.449158036716872,,25,Central,Sales,2023
43090.41843560319,30250.54688839044,388,6.50606436158123,8.259072889471435,9.595636089762511,29,South,Engineering,2020
65856.83339328374,28466.70767426288,315,8.355898002889738,18.716320470113576,-0.4014497792700791,39,North,Marketing,2018
55154.27434352692,52654.54240281097,277,6.355111265186225,15.85432719063971,22.34055954709811,31,South,Engineering,2023
23554.39766955899,39049.817109609554,458,4.792676849003222,14.080083318236603,-10.278242857405296,47,East,HR,2021
54861.25954092192,22391.160456649548,63,5.058686343175256,15.092169665326965,1.2929378327409395,43,Central,Sales,2022
44223.76579375525,44178.61947054776,245,,16.737908526808354,12.526542500774251,23,West,Marketing,2022
39846.169995410615,56221.561970126335,398,7.889583752582222,12.301201598453193,26.786288350812086,44,South,Sales,2019
59175.14433261302,45324.65260551147,487,6.143525062343388,11.108476372988436,7.2109968671241464,38,East,Marketing,2019
65464.99283743926,19806.300340459864,231,8.457888688166062,15.979226275488408,1.3376056796816194,20,West,HR,2022
63969.20178674298,30157.659271337485,260,5.00771990659656,10.10813611192484,30.57388483328708,23,West,Sales,2022
37411.73715166042,47669.11149186623,322,7.400880302029025,17.041263778572358,-9.376166804994927,45,South,Finance,2024
45361.81436223178,27923.305343812193,410,5.683475700356315,6.487081978810798,-18.385671479440983,16,North,Marketing,2021
,39438.19428146228,121,6.522245838296762,20.14577818662822,13.280173400639988,42,South,Finance,2020
64633.17690683539,42746.34053429337,264,7.571098006974621,17.362987412065216,1.9753493077686661,8,East,Sales,2019
42812.38643232065,25730.69528421917,312,,16.28014867156938,-4.254793805568559,21,West,Finance,2024
47215.115350042746,34404.746439382,416,6.923166683655262,19.91345491972757,,1,South,Finance,2024
33404.97538990958,5000.0,216,9.009439213821661,23.32737222231288,10.925608565254386,8,North,Sales,2020
32056.90063878994,24756.1235866571,238,6.634662195715277,20.07185032509065,1.23105643115926,29,South,HR,2024
62187.88733591297,32474.318486068398,350,8.753538168097712,5.795628843341774,-7.363652784050732,32,Central,Finance,2021
70343.60042856235,22522.168180351506,407,5.805439718013573,8.602115166321493,,38,North,Finance,2022
,51324.113039316355,75,8.294706266872923,11.875907111521606,,5,East,HR,2023
65052.99346838036,20698.586220393674,84,9.66235293098685,15.130455251054169,6.809889634647405,47,West,Finance,2020
55424.54037571451,30599.55513303016,444,3.792533249809066,17.588295102345615,30.15964395257199,22,South,Finance,2022
40323.203680923136,36307.40577286091,112,6.304657116794285,11.371280934232672,,47,North,Finance,2022
55420.934082626205,49412.73289066115,431,8.36560819077081,15.933833822385392,-10.306302051096864,34,Central,Engineering,2018
73070.54849698953,20641.378488205606,201,7.195431920935511,11.223085338233387,-0.30289683857493266,1,North,HR,2020
49462.60941335073,46631.637521549594,261,,11.942410985040258,7.452967803734026,26,Central,Finance,2024
73469.6548372101,35102.33061019587,235,6.594022219926269,7.966694515758888,10.920073391872302,43,East,HR,2023
10703.823438653832,25184.91348952049,303,7.62988468120935,10.383833769445479,5.105167305724041,10,West,Marketing,2020
62328.53756562836,39621.034742632706,315,7.266484146911881,8.241576971918331,12.224664758171562,30,East,Marketing,2024
51305.706023572566,36990.5969557347,107,9.25167309248971,10.120633735113337,-7.01847309028533,18,South,Finance,2022
45514.88974301199,28997.831228412055,347,7.881631264951819,20.268208983039198,25.325175248879113,17,North,HR,2023
51376.41164803253,35698.02084990019,295,8.006403993112803,10.253005555840286,7.014185859289174,26,Central,HR,2024
20186.46628098661,31146.8640313824,344,,28.161910324186955,21.40754997905753,8,Central,HR,2021
46704.92168243732,36135.17345251248,356,6.76859066389126,17.466589504404446,12.11270415653245,47,North,Engineering,2024
55356.6885726762,41621.306745210466,444,6.851162718270569,15.92418061847437,13.481038629845408,40,North,Marketing,2018
72168.41067112274,50860.16816145352,456,8.091678213567445,10.708211099093933,14.837207362786447,49,South,HR,2022
42225.94672589529,22621.845011731508,491,6.868523278769605,18.501549397044958,13.37250272020778,12,East,HR,2024
37872.595956602185,56330.33374656267,317,7.934662285344619,12.121810868811131,15.712673118410526,27,Central,Engineering,2019
42473.64434623195,15479.122004774981,258,10.0,15.610049073226808,23.94983036158918,8,South,Engineering,2019
63731.03176553111,33482.14904964417,175,8.806687055147538,27.800422691343975,10.358254036417641,25,East,HR,2018
54931.266644895266,40883.17206484576,490,7.010964701748239,14.51970050137675,16.508045091062147,46,South,Sales,2021
42053.59694349442,37809.918677350324,481,9.301820883245917,20.74636663142838,6.923171668553279,4,Central,HR,2022
57699.01149670034,28773.00480179406,344,,11.484117874370563,25.281406585393675,33,North,HR,2020
51456.16324022061,32918.77749642725,39,4.442813197233219,14.825057547515192,-0.11670762471123552,1,North,Engineering,2018
64529.674857993334,30069.99065341167,256,5.987870533623894,23.85400317817755,29.61128519492979,19,East,Engineering,2021
39469.203591839716,29106.352430557883,115,4.693812118461216,11.865164711061162,7.518104592267879,31,West,HR,2020
45085.067801033474,43496.020970210244,60,6.9727297739380365,24.062242789984644,-9.169301225416579,16,East,HR,2019
44118.377703017635,38570.15485965047,90,7.527627568784328,18.538759677277376,9.537252978929471,14,West,HR,2019
28047.275778018222,28070.90404739346,142,10.0,12.187666120528661,-0.17261988969857,48,South,Engineering,2020
54441.80415596864,43995.99875433251,294,7.990391060646244,18.162038695277605,18.08772258786469,5,South,HR,2018
53915.82908269834,38072.99520876609,397,7.1713492067867035,19.86277224813365,0.16851224837130907,41,Central,HR,2019
50076.70184963691,43128.6211883896,147,8.744108371775233,18.10904981108598,2.645798801422643,26,West,Finance,2022
46481.1929993728,41296.28841923612,193,4.183297036488172,7.148876400547718,-14.674488771346372,28,Central,Sales,2023
28769.438869243786,26710.04989077928,410,7.853421837162849,11.364314120875658,2.572324169011079,2,North,Marketing,2024
43690.320158519615,29398.189598030305,339,8.65629779083045,13.762406822242475,-21.08655191954748,6,West,Sales,2020
44859.282252098456,42472.93605123262,282,5.282120631330238,14.627832854499768,-11.00683388182868,9,East,Finance,2020
37965.84096167571,41103.70265433465,349,9.215631064810394,18.103360487753392,17.124975873731568,33,North,Marketing,2019
47580.71432500986,34790.98406035852,481,8.007744611241622,15.88850500466627,17.42960190380999,41,North,HR,2018
56060.762852218075,36173.27383308782,78,6.877068129148798,8.323278206449494,13.105490741419576,25,East,Finance,2022
78292.78851815795,47776.648957884245,43,8.449172799159427,16.900989255029817,-3.603713717550555,48,North,HR,2018
52618.66719247759,29084.2861116417,271,10.0,18.052928726419115,7.427463726296242,13,West,Engineering,2021
53863.25586084147,40470.97381170038,62,7.772799382587743,17.7989522396552,7.956769530913179,9,Central,Finance,2021
48883.311263507494,32978.07347566106,459,7.872330879450504,20.403903627773108,-5.900376270310513,13,North,Engineering,2023
21218.431770514377,32823.1879677278,214,6.810958650689634,19.16961077274452,26.040779621205807,31,West,Finance,2019
49602.291868261746,45987.7685198719,135,6.225233445802813,17.295900396142184,18.528347486908057,41,South,Finance,2019
50903.4531491154,43254.1634898803,244,8.745503724816368,14.649171442706765,5.348429914044033,11,West,Engineering,2019
86948.6316872793,43135.096360006384,52,6.215874261136699,6.6951953324200435,8.32263006793437,4,Central,Marketing,2023
47114.58552828316,48054.78807154329,249,7.607349355829089,17.148091095662927,10.500593695370629,34,West,Sales,2021
54523.210135004185,35210.03841632759,468,6.783513829852325,16.038438435815557,,38,East,HR,2018
49479.32345442135,41819.52971294964,380,8.218469738619588,16.357894185976868,5.033871409752837,46,Central,Finance,2023
32469.82943570702,31897.33243406544,120,8.000493157930423,8.616257120898453,-0.1838109759735822,4,South,HR,2023
67142.34221772531,38241.66352488442,258,9.056309916386848,9.594717297958688,-4.019440118738986,38,East,Engineering,2018
